CASEID	v3	v1	v2	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v17_jp	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v84_tw1	v84_tw2	v84_tw3	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	s1_cjt	s2_cjt	cn_frcap	jp_frcap	tw_frcap	sex	age	marital	relig	topbot	urbrural	cn_reg	jp_reg	kr_reg	tw_reg	happy	happy_kr	educyrs	degree	inschl	wrkst	fullpart	wrkhrs	empcntrt	wrktype	whynowrk	isco88	cn_rinc	jp_rinc	kr_rinc	tw_rinc	cn_rincx	jp_rincx	kr_rincx	tw_rincx	hhdnum	cn_hinc	jp_hinc	kr_hinc	tw_hinc	rltvhinc	weight	spage	spedyrs	spdegr	spinschl	spwrkst	spfullpt	spwrkhrs	spempcnt	spwktype	spnowrk	spisco88	cn_spinc	jp_spinc	kr_spinc	tw_spinc	cn_sincx	jp_sincx	kr_sincx	tw_sincx	paedyrs	padegr	maedyrs	madegr
1	1	2008	1	3	2	2	1	3	2	2	1	2	2	2	1	2	4	 	2	3	5	4	3	3	5	2	4	2	1	4	3	3	3	3	2	5	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	1	2	 	2	2	2	1	1	2	 	2	2	2	3	3	 	 	 	4	2	5	3	4	4	5	5	3	2	1	1	1	1	1	1	2	1	1	1	3	5	5	2	2	 	 	 	1	60	1	1	8	3	2	 	 	 	3	 	12	4	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	5	100000	 	 	 	2	.554019927978516	60	8	2	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	5	1	0	0
2	2	2008	1	4	1	3	1	1	1	2	2	3	2	3	1	2	6	 	2	3	2	4	3	2	2	2	2	1	1	4	3	2	2	1	3	2	1	2	2	2	2	5	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	2	2	 	2	2	1	2	2	2	 	2	1	1	2	2	1	 	2	1	2	2	2	 	 	 	3	6	6	2	2	3	3	5	4	1	1	1	1	1	1	1	2	1	1	1	4	4	4	2	2	 	 	 	2	24	1	7	6	3	2	 	 	 	2	 	12	3	0	3	1	50	 	 	 	5220	60000	 	 	 	 	 	 	 	1	80000	 	 	 	3	2.21607971191406	27	8	2	0	3	1	56	 	 	 	3117	20000	 	 	 	 	 	 	 	8	2	8	2
3	3	2008	1	3	2	1	2	2	1	1	2	3	3	3	2	3	5	 	5	2	2	6	5	2	5	6	5	3	1	4	3	2	4	1	2	5	 	 	 	 	 	7	2	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	1	1	1	2	1	1	 	1	1	1	2	2	2	 	1	1	2	2	2	 	 	 	2	5	6	6	2	6	2	3	4	2	2	2	2	2	2	1	2	1	2	2	5	5	5	2	2	3	 	 	2	24	1	1	4	3	2	 	 	 	3	 	11	2	0	1	1	63	1	 	 	5123	19000	 	 	 	0	 	 	 	1	30000	 	 	 	2	2.21607971191406	24	8	2	0	3	1	63	 	 	 	7412	11000	 	 	 	 	 	 	 	8	2	8	2
4	4	2008	1	4	2	4	 	4	1	1	3	4	4	4	1	2	3	 	6	2	2	6	2	6	2	1	3	2	1	4	2	4	2	3	4	5	 	 	 	 	 	7	1	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	1	1	2	2	2	 	2	1	1	1	1	2	 	1	1	1	1	1	2	 	1	1	1	3	3	 	 	 	6	2	6	2	5	6	1	1	3	1	2	2	2	1	2	2	2	2	2	2	1	1	1	2	2	1	 	 	1	25	5	1	3	3	2	 	 	 	3	 	16	5	0	1	1	50	1	3	 	2444	 	 	 	 	 	 	 	 	2	50000	 	 	 	3	1.10803985595703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	3	11	3
5	5	2008	1	3	3	3	 	3	1	1	1	2	1	3	1	1	3	 	3	6	6	4	5	3	4	4	4	2	2	4	3	3	3	2	3	4	 	 	 	 	 	3	1	2	2	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	2	1	 	2	1	1	2	2	1	 	2	1	2	2	3	 	 	 	5	2	5	2	2	 	5	3	3	2	2	1	1	1	1	1	2	1	1	1	4	3	4	2	2	1	 	 	1	26	5	1	5	3	2	 	 	 	2	 	15	5	0	1	2	34	1	3	 	4112	45000	 	 	 	0	 	 	 	1	40000	 	 	 	3	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	4	11	3
6	6	2008	1	3	2	2	2	4	1	1	2	1	2	3	2	1	1	 	2	4	5	4	3	3	3	5	4	2	2	4	3	3	3	2	2	5	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	1	1	 	2	1	2	1	1	1	 	2	1	2	2	3	 	 	 	5	2	6	2	2	 	3	2	3	1	1	2	1	2	1	1	2	2	1	1	5	5	5	2	2	 	 	 	2	42	1	1	3	3	2	 	 	 	3	 	13	3	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	3	38000	 	 	 	2	1.10803985595703	42	11	3	0	1	1	40	1	3	 	 	32000	 	 	 	 	 	 	 	5	1	5	1
7	7	2008	1	3	3	4	1	2	2	2	2	3	2	3	2	2	5	 	2	2	3	6	2	2	3	3	2	2	2	4	2	3	3	3	1	4	 	 	 	 	 	3	1	2	1	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	2	1	 	2	2	1	1	2	1	 	2	2	1	3	3	 	 	 	4	2	6	3	5	6	1	1	2	2	2	2	2	2	2	2	2	1	1	1	3	4	4	2	2	1	 	 	2	38	1	1	6	3	2	 	 	 	3	 	16	5	0	1	1	40	1	3	 	2411	48000	 	 	 	0	 	 	 	4	70000	 	 	 	2	.738693237304688	41	10	3	0	1	1	48	1	3	 	5220	22000	 	 	 	 	 	 	 	8	2	8	2
8	8	2008	1	4	4	4	2	4	1	1	3	2	3	4	1	1	4	 	4	4	5	5	4	4	5	3	4	2	1	3	4	4	4	3	2	5	 	 	 	 	 	2	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	2	1	1	1	2	1	 	2	1	2	2	2	1	 	2	2	2	2	3	 	 	 	5	4	5	2	3	2	3	4	2	2	1	1	1	2	2	1	2	1	2	1	5	5	5	2	2	1	 	 	2	59	1	1	4	3	2	 	 	 	3	 	13	3	0	1	1	40	1	1	 	1130	13000	 	 	 	0	 	 	 	2	36000	 	 	 	2	1.10803985595703	60	14	4	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	5	1	0	0
9	9	2008	1	4	3	3	2	3	2	1	1	2	1	2	1	1	3	 	4	4	4	4	3	3	3	3	4	1	1	4	3	5	5	3	2	4	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	1	1	1	1	1	1	 	1	2	1	2	2	1	 	1	2	1	3	3	 	 	 	5	2	4	2	4	3	5	4	3	2	1	2	2	2	1	2	2	2	1	2	5	5	5	2	2	 	 	 	2	72	1	1	6	3	2	 	 	 	3	 	0	0	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	2	36000	 	 	 	3	1.10803985595703	80	 	 	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	0	0	0	0
10	10	2008	1	4	3	3	2	3	1	1	1	2	1	2	2	1	3	 	4	5	5	4	3	3	3	5	4	1	1	3	2	2	2	3	3	4	 	 	 	 	 	3	1	2	1	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	2	1	 	2	1	1	2	2	1	 	2	1	2	3	3	 	 	 	5	3	6	3	3	 	1	1	2	2	2	2	2	2	1	1	2	2	2	1	5	5	5	2	2	 	 	 	1	53	1	2	4	3	2	 	 	 	3	 	16	4	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	3	39000	 	 	 	2	.738693237304688	50	11	3	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	8	2	10	3
11	21	2008	1	4	4	1	2	4	1	1	2	2	2	2	1	1	2	 	2	2	2	4	2	5	5	5	6	2	2	4	3	3	4	2	2	5	 	 	 	 	 	1	1	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	1	 	2	2	1	1	1	1	 	1	1	1	2	2	1	 	1	2	2	3	5	 	 	 	5	6	6	2	6	6	5	5	3	1	2	2	1	1	2	2	2	2	1	1	4	5	5	2	2	 	 	 	2	61	1	1	1	3	2	 	 	 	3	 	15	3	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	2	35000	 	 	 	3	1.10803985595703	60	14	4	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	5	1	3	0
12	22	2008	1	4	4	3	2	4	1	1	2	2	4	4	2	2	2	 	3	2	2	6	6	2	3	2	6	2	2	4	4	4	4	3	2	5	 	 	 	 	 	7	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	1	 	2	2	2	1	1	1	 	2	2	2	2	2	2	 	2	2	2	3	4	 	 	 	6	2	6	3	2	2	5	4	4	4	1	1	1	1	1	1	1	1	1	1	5	5	5	2	2	1	 	 	2	46	1	1	3	3	2	 	 	 	1	 	12	3	0	1	1	40	1	3	 	3152	40000	 	 	 	0	 	 	 	3	80000	 	 	 	3	1.10803985595703	46	11	3	0	3	1	80	 	 	 	8320	40000	 	 	 	 	 	 	 	10	3	8	2
13	23	2008	1	4	4	1	2	4	4	2	2	2	2	4	2	2	2	 	2	2	1	2	1	1	2	6	6	2	2	4	3	3	4	2	2	5	 	 	 	 	 	7	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	4	 	 	 	2	1	6	2	2	2	5	2	5	3	2	2	2	2	2	1	2	1	1	1	5	5	5	2	2	1	 	 	2	45	3	1	1	3	2	 	 	 	3	 	2	1	0	1	1	40	1	2	 	9162	30000	 	 	 	0	 	 	 	2	30000	 	 	 	2	1.10803985595703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0
14	24	2008	1	4	4	1	 	1	1	2	2	2	2	2	1	2	2	 	2	2	2	2	2	2	1	5	2	4	3	4	3	2	3	2	4	5	 	 	 	 	 	7	1	1	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	1	1	2	2	1	1	 	2	2	2	2	2	1	 	2	2	2	3	3	 	 	 	5	5	6	2	2	2	4	5	2	2	2	2	2	1	1	1	2	1	2	1	5	5	5	2	2	1	 	 	2	21	6	1	6	3	2	 	 	 	2	 	15	5	1	1	1	42	1	3	 	4115	0	 	 	 	0	 	 	 	2	65000	 	 	 	3	1.10803985595703	25	11	3	0	4	2	28	 	 	 	 	65000	 	 	 	 	 	 	 	11	3	8	2
15	25	2008	1	4	2	4	2	4	2	2	2	2	4	4	2	2	5	 	1	2	2	6	2	2	6	2	2	2	2	4	4	4	4	2	4	5	 	 	 	 	 	3	1	2	1	1	2	2	 	2	2	2	1	2	2	 	2	2	2	2	2	2	2	2	1	 	2	1	1	2	2	1	 	1	1	1	2	2	2	 	2	1	2	2	2	 	 	 	6	2	6	2	2	2	3	4	5	2	2	1	1	1	1	1	2	1	1	2	5	5	5	2	2	2	 	 	1	45	1	1	5	3	2	 	 	 	2	 	12	3	0	1	1	40	1	3	 	5149	32000	 	 	 	0	 	 	 	4	75000	 	 	 	3	.738693237304688	42	10	3	0	1	1	48	1	3	 	2230	43000	 	 	 	 	 	 	 	5	1	0	0
16	26	2008	1	3	3	1	 	3	1	2	1	3	4	5	1	2	3	 	1	6	2	6	2	5	6	2	2	3	2	4	3	2	3	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	2	 	2	1	2	2	1	2	 	2	1	1	2	1	1	 	2	1	1	2	3	 	 	 	2	2	6	2	2	6	2	2	3	2	1	1	1	1	1	1	2	1	1	1	3	2	4	2	2	1	 	 	2	20	5	1	6	3	2	 	 	 	4	 	12	3	0	1	1	40	2	3	 	5123	5000	 	 	 	0	 	 	 	1	12000	 	 	 	2	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	3	5	1
17	27	2008	1	4	4	3	 	2	1	1	3	2	3	3	2	2	3	 	2	6	4	2	3	3	2	3	2	3	3	4	2	1	3	1	3	4	 	 	 	 	 	5	1	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	1	 	1	2	2	2	2	2	 	2	2	2	2	3	 	 	 	1	2	6	2	2	4	4	5	3	2	2	1	1	1	1	1	1	1	1	1	3	3	4	2	2	1	 	 	1	23	5	1	4	3	2	 	 	 	2	 	15	4	0	1	1	48	1	3	 	5123	2300	 	 	 	0	 	 	 	1	40000	 	 	 	3	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	5	1
18	28	2008	1	3	2	4	 	1	2	2	2	3	3	3	2	1	5	 	2	2	5	5	2	2	5	5	5	2	2	4	4	4	4	2	2	4	 	 	 	 	 	6	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	2	 	 	 	6	1	6	2	2	3	4	4	5	2	2	2	1	1	1	1	1	1	1	1	5	5	5	2	2	1	 	 	1	29	5	1	1	3	2	 	 	 	3	 	9	2	0	1	1	48	1	3	 	5122	12000	 	 	 	0	 	 	 	1	10000	 	 	 	1	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	2	0	0
19	29	2008	1	4	4	2	2	3	2	2	4	4	4	4	2	2	3	 	2	2	2	6	2	2	6	6	2	2	2	4	4	4	4	2	2	4	 	 	 	 	 	3	1	1	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	2	1	 	1	1	1	1	1	1	 	1	1	1	2	2	2	 	2	2	2	2	2	 	 	 	2	6	6	2	2	6	2	4	2	2	2	2	1	1	2	2	2	2	1	2	3	5	4	2	2	2	 	 	2	34	1	1	3	3	2	 	 	 	2	 	16	5	0	1	1	40	1	3	 	2141	60000	 	 	 	0	 	 	 	3	100000	 	 	 	2	1.10803985595703	36	16	5	0	1	1	40	1	3	 	2141	40000	 	 	 	 	 	 	 	8	2	5	1
20	30	2008	1	4	3	2	 	1	1	2	3	3	4	4	1	1	6	 	1	2	2	6	6	2	2	6	6	2	2	4	3	4	4	2	4	5	 	 	 	 	 	7	2	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	1	2	 	2	2	2	2	1	2	 	2	2	2	3	2	 	 	 	2	2	7	2	2	4	3	2	4	2	1	1	1	2	1	1	2	2	2	2	5	5	5	2	2	3	 	 	2	32	1	1	5	3	2	 	 	 	3	 	12	3	0	1	1	40	1	 	 	4115	40000	 	 	 	0	 	 	 	3	80000	 	 	 	3	.738693237304688	47	11	3	0	1	1	40	1	2	 	4115	40000	 	 	 	 	 	 	 	8	2	8	2
21	41	2008	1	4	4	4	2	1	2	1	3	2	4	4	4	2	2	 	6	2	2	6	2	6	6	2	6	2	2	4	4	4	4	4	2	4	 	 	 	 	 	4	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	2	2	2	1	1	1	 	1	1	1	1	1	1	 	1	1	1	2	2	 	 	 	6	2	6	2	2	2	5	5	1	2	2	2	1	1	1	1	2	1	1	2	5	5	5	2	2	 	 	 	1	51	1	1	6	3	2	 	 	 	1	 	10	3	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	3	50000	 	 	 	2	.738693237304688	50	11	3	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	0	0	0	0
22	42	2008	1	2	3	4	 	1	1	2	3	2	2	4	1	1	6	 	1	2	5	6	2	6	6	6	6	1	1	4	4	2	4	2	4	4	 	 	 	 	 	7	2	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	1	1	1	1	1	1	 	2	2	1	2	2	2	 	2	2	2	3	2	 	 	 	6	6	6	2	2	2	4	5	4	3	1	1	1	1	1	1	2	2	1	1	3	3	3	2	2	 	 	 	1	22	5	1	1	3	2	 	 	 	1	 	12	3	0	5	 	 	 	 	2	 	 	 	 	 	0	 	 	 	1	40000	 	 	 	3	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	4	11	3
23	43	2008	1	3	1	4	 	2	1	1	4	3	3	4	2	2	5	 	5	5	5	2	2	2	2	4	2	2	2	4	2	2	2	2	3	4	 	 	 	 	 	4	1	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	1	1	1	1	2	2	 	1	1	1	1	2	2	 	2	2	2	2	2	 	 	 	3	3	6	2	2	5	3	5	3	3	2	2	1	1	2	1	2	2	2	2	5	5	5	2	2	3	 	 	1	28	6	1	1	3	2	 	 	 	4	 	14	4	0	1	1	40	2	 	 	5220	30000	 	 	 	0	 	 	 	2	30000	 	 	 	3	1.10803985595703	26	10	3	0	2	1	56	 	 	 	 	 	 	 	 	 	 	 	 	5	1	5	1
24	44	2008	1	4	3	4	2	4	1	1	3	3	1	2	1	2	3	 	3	3	5	4	4	3	4	5	6	3	3	4	3	3	3	2	1	5	 	 	 	 	 	7	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	2	1	 	2	2	2	1	1	1	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	5	5	4	4	4	 	2	3	2	2	2	2	1	1	2	2	2	2	2	1	5	3	5	2	2	1	 	 	2	42	1	1	5	3	2	 	 	 	4	 	6	1	0	1	1	36	1	2	 	9162	21600	 	 	 	0	 	 	 	3	39600	 	 	 	1	1.10803985595703	44	5	1	0	1	2	15	1	2	 	5149	18000	 	 	 	 	 	 	 	8	2	3	0
25	45	2008	1	4	4	4	2	1	2	2	2	2	4	4	2	2	2	 	2	2	2	2	2	2	2	6	2	3	2	4	2	2	2	2	2	4	 	 	 	 	 	4	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	1	1	1	2	1	1	 	1	1	1	2	1	1	 	1	1	1	4	4	 	 	 	2	2	6	6	2	2	1	1	1	2	2	2	2	2	2	2	2	1	2	2	5	5	5	2	2	 	 	 	2	43	1	1	1	3	2	 	 	 	1	 	9	2	0	1	1	68	1	 	 	2230	7000	 	 	 	0	 	 	 	2	13000	 	 	 	2	1.10803985595703	45	11	3	0	1	1	84	1	3	 	5169	6000	 	 	 	 	 	 	 	0	0	0	0
26	46	2008	1	4	4	4	 	2	4	2	4	2	2	2	2	1	2	 	2	4	5	4	4	3	4	4	4	4	4	4	3	3	3	2	2	5	 	 	 	 	 	1	1	2	2	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	4	 	 	 	5	4	4	 	2	4	2	1	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	3	 	 	2	28	1	1	1	3	2	 	 	 	4	 	9	2	0	1	1	77	2	 	 	5123	12000	 	 	 	0	 	 	 	2	12000	 	 	 	1	1.10803985595703	26	8	2	0	3	1	58	 	 	 	6210	 	 	 	 	 	 	 	 	8	2	0	0
27	47	2008	1	4	2	2	 	1	2	2	2	2	4	4	2	2	2	 	2	2	2	6	2	2	2	2	2	2	2	4	3	2	3	2	3	4	 	 	 	 	 	6	2	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	1	2	2	2	1	1	 	1	2	2	2	1	1	 	2	2	2	2	3	 	 	 	6	2	6	2	2	4	2	5	6	4	2	1	1	1	1	1	2	2	1	2	3	3	5	2	2	3	 	 	2	26	6	1	4	3	2	 	 	 	1	 	12	3	0	1	1	42	1	3	 	5220	50000	 	 	 	0	 	 	 	2	90000	 	 	 	3	1.10803985595703	26	11	3	0	2	1	60	 	 	 	 	40000	 	 	 	 	 	 	 	11	3	8	2
28	48	2008	1	2	1	2	 	1	1	2	3	4	4	2	3	2	1	 	2	2	2	3	2	2	2	2	3	3	2	4	4	4	2	2	4	2	2	2	2	1	2	2	1	2	2	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	1	2	1	1	 	2	1	1	2	1	2	 	2	1	1	2	1	2	 	2	1	1	1	1	 	 	 	5	2	5	2	2	5	3	4	4	2	1	1	1	2	2	1	2	2	2	2	3	4	3	2	2	3	 	 	1	26	5	1	7	3	2	 	 	 	4	 	15	4	1	1	1	48	1	 	 	5220	50000	 	 	 	0	 	 	 	1	50000	 	 	 	2	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	11	3
29	49	2008	1	4	2	4	 	3	1	2	2	4	4	4	3	3	3	 	4	6	6	6	4	3	4	6	6	1	3	4	3	4	4	3	3	3	2	1	2	2	2	3	1	2	2	1	2	2	 	1	1	2	1	1	1	 	1	2	2	1	2	1	2	2	1	 	1	1	1	2	1	1	 	1	1	1	2	1	1	 	1	1	1	1	2	 	 	 	3	2	6	2	3	2	5	1	4	1	2	1	1	1	1	1	2	1	1	1	3	4	4	2	2	3	 	 	1	28	5	1	2	3	2	 	 	 	4	 	15	4	0	1	1	50	1	 	 	1210	66000	 	 	 	6000	 	 	 	1	66000	 	 	 	1	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	10	3
30	50	2008	1	3	2	4	2	4	1	2	2	1	1	2	1	2	2	 	2	2	2	2	2	2	2	2	2	1	2	4	2	2	2	2	2	4	 	 	 	 	 	3	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	2	1	 	1	1	1	1	2	1	 	1	1	1	1	2	1	 	1	1	2	2	4	 	 	 	2	1	5	1	2	2	2	2	7	3	1	1	1	1	2	1	1	1	1	1	5	5	5	2	2	1	 	 	1	44	1	1	4	3	2	 	 	 	3	 	9	2	0	1	1	40	1	2	 	5169	22340	 	 	 	0	 	 	 	3	45000	 	 	 	3	.738693237304688	43	8	2	0	1	1	40	1	2	 	5149	22660	 	 	 	 	 	 	 	5	1	5	1
31	61	2008	1	1	2	2	 	1	2	2	1	2	3	3	1	2	6	 	6	6	2	6	2	2	6	2	3	3	1	3	2	4	2	2	3	3	2	1	2	2	2	1	1	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	2	 	2	1	1	1	1	2	 	2	1	1	1	1	2	 	2	1	1	2	3	 	 	 	7	6	6	2	1	5	4	3	2	2	2	2	1	1	2	2	2	2	2	2	3	4	3	2	2	 	 	 	1	21	5	1	8	2	2	 	 	 	3	 	16	5	1	5	 	 	 	 	2	 	 	 	 	 	0	 	 	 	3	80000	 	 	 	4	.738693237304688	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	4	10	3
32	62	2008	1	4	2	1	2	2	2	2	3	2	4	4	1	2	3	 	2	2	2	3	2	2	2	3	3	2	2	4	4	4	4	4	2	4	 	 	 	 	 	2	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	4	 	 	 	5	2	5	4	2	5	5	3	2	2	1	1	1	1	1	2	2	1	2	2	5	5	5	2	2	 	 	 	2	60	1	1	5	2	2	 	 	 	2	 	6	1	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	2	40000	 	 	 	3	1.10803985595703	60	13	4	0	1	1	40	1	3	 	3440	20000	 	 	 	 	 	 	 	0	0	0	0
33	63	2008	1	4	2	4	 	2	1	1	3	3	4	3	2	1	2	 	2	2	2	2	2	2	2	1	4	2	2	4	3	1	2	1	2	3	2	2	1	2	2	2	1	2	1	1	2	1	 	2	1	2	1	1	1	 	2	2	2	2	2	2	2	2	2	 	2	2	2	1	2	2	 	2	1	1	2	2	2	 	2	2	2	2	3	 	 	 	5	1	5	1	2	2	6	6	1	3	2	1	1	1	1	1	2	1	1	1	2	2	4	2	2	1	 	 	1	23	5	1	7	2	2	 	 	 	1	 	15	5	0	1	1	40	1	3	 	2139	120000	 	 	 	0	 	 	 	1	1000000	 	 	 	4	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	4	13	4
34	64	2008	1	4	3	2	2	4	1	2	3	2	1	3	1	2	3	 	2	2	3	2	3	2	3	2	5	2	2	4	3	4	4	2	2	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	2	2	2	2	1	1	 	2	2	2	2	1	1	 	2	2	2	3	4	 	 	 	2	2	3	2	2	5	2	3	2	2	2	2	1	2	2	2	2	2	2	2	5	5	5	2	2	1	 	 	2	49	1	1	5	2	2	 	 	 	2	 	12	3	0	1	1	40	1	3	 	9333	20000	 	 	 	0	 	 	 	2	40000	 	 	 	3	1.10803985595703	59	13	4	0	1	1	40	1	3	 	1210	20000	 	 	 	 	 	 	 	3	0	13	4
35	65	2008	1	4	4	4	2	2	2	2	2	2	4	4	2	2	3	 	2	2	3	2	3	2	3	5	5	2	2	4	4	4	4	4	1	4	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	4	 	 	 	2	2	4	2	2	5	3	5	3	3	2	2	2	2	2	2	2	2	1	2	5	5	5	2	2	1	 	 	1	63	1	1	6	2	2	 	 	 	1	 	6	1	0	1	1	40	1	3	 	7231	27000	 	 	 	0	 	 	 	2	27000	 	 	 	2	1.10803985595703	59	5	1	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	0	0	0	0
36	66	2008	1	4	4	2	2	3	2	1	2	3	1	3	2	2	3	 	3	2	3	2	2	1	2	2	2	2	2	4	4	4	4	2	2	3	2	2	1	2	2	2	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	4	 	 	 	1	1	4	4	3	6	3	4	5	4	2	1	2	1	2	2	2	2	2	2	5	5	5	2	2	1	 	 	1	54	1	1	5	2	2	 	 	 	2	 	9	2	0	1	1	60	1	3	 	9333	24000	 	 	 	0	 	 	 	3	60000	 	 	 	3	.738693237304688	58	8	2	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	0	0	0	0
